iter	RMSE
0	0.1042495328
1	0.09993625247
2	0.09587593941
3	0.09193094383
4	0.08824029274
5	0.08474285134
6	0.08155718585
7	0.07851032986
8	0.07557080995
9	0.07282079536
10	0.07018129492
11	0.06770541756
12	0.06539471715
13	0.06324501751
14	0.06127124429
15	0.05936991814
16	0.05760862818
17	0.05594515998
18	0.05440996542
19	0.05294891983
20	0.05161557002
21	0.05040217053
22	0.04920847562
23	0.04813388738
24	0.04712159611
25	0.04616579966
26	0.04528278578
27	0.0445096351
28	0.04373580939
29	0.0430603057
30	0.04242168
31	0.04179047456
32	0.04125662921
33	0.04073363402
34	0.04023633848
35	0.03976373542
36	0.03933710096
37	0.03894063034
38	0.03856652466
39	0.03819302606
40	0.0378356648
41	0.03753499955
42	0.03725004148
43	0.0369812515
44	0.03670813533
45	0.03649450991
46	0.03629145661
47	0.03607844803
48	0.03589520711
49	0.03570819252
50	0.0355496731
51	0.0353964895
52	0.03525245435
53	0.03510888926
54	0.03497734946
55	0.03487115808
56	0.03474647738
57	0.03465591019
58	0.03454312749
59	0.03441718689
60	0.03430086093
61	0.03419198705
62	0.03407255737
63	0.03398443593
64	0.03389892971
65	0.03379349903
66	0.03369614206
67	0.03361493369
68	0.03354772813
69	0.03347429609
70	0.03341283324
71	0.03334186737
72	0.03327918148
73	0.03322067904
74	0.03316814905
75	0.03311289283
76	0.03307159512
77	0.03302626407
78	0.03298373651
79	0.03294852148
80	0.03290467522
81	0.03286522932
82	0.0328256567
83	0.03278034
84	0.03273673956
85	0.03270234031
86	0.03266551073
87	0.03262571683
88	0.03260119236
89	0.03257245059
90	0.03252551169
91	0.03250157524
92	0.03247402536
93	0.03243605861
94	0.03241977782
95	0.03238917234
96	0.0323637328
97	0.03232507949
98	0.03230262694
99	0.03227699932
100	0.03223812388
101	0.03220918179
102	0.03218692081
103	0.03214776959
104	0.03211723673
105	0.03209333528
106	0.03207560168
107	0.03205856131
108	0.03203874044
109	0.03202362505
110	0.03200938118
111	0.03198840303
112	0.03196744722
113	0.03195078922
114	0.03193071804
115	0.03191537878
116	0.03189561563
117	0.03184811895
118	0.03183337776
119	0.03181277327
120	0.03179362867
121	0.03178499912
122	0.03176313777
123	0.03174413268
124	0.03171177654
125	0.03168047503
126	0.03165212695
127	0.03163274834
128	0.03161270192
129	0.03159289135
130	0.03157643194
131	0.03154839457
132	0.03152517359
133	0.03151101956
134	0.03150867315
135	0.03148807341
136	0.0314785702
137	0.03146819214
138	0.03145084715
139	0.03143558067
140	0.03143251793
141	0.03141627595
142	0.03139930923
143	0.03138731318
144	0.03136035089
145	0.03134045191
146	0.0312990779
147	0.03128179005
148	0.03126870303
149	0.03125359003
150	0.03124280237
151	0.03122952723
152	0.03121369606
153	0.03120898337
154	0.0311868811
155	0.03117239301
156	0.03114918545
157	0.03113465702
158	0.03109429903
159	0.0310942762
160	0.03108192465
161	0.03106900939
162	0.03103944412
163	0.03103236133
164	0.03101219511
165	0.0309980846
166	0.03097771316
167	0.03096308634
168	0.03095121868
169	0.03093418053
170	0.03092505896
171	0.0309041584
172	0.03090062732
173	0.03088529208
174	0.03088527154
175	0.03086952916
176	0.03085171402
177	0.03083961431
178	0.03083085217
179	0.03081598214
180	0.03080396175
181	0.03077974751
182	0.03076931815
183	0.03075766205
184	0.03074453067
185	0.03074000264
186	0.03073280199
187	0.03070722631
188	0.03069001572
189	0.03066963271
190	0.03066962188
191	0.0306617464
192	0.03063803188
193	0.03062474737
194	0.03061828557
195	0.03061029098
196	0.03059680013
197	0.03059630251
198	0.03058274195
199	0.03056980888
200	0.0305603631
201	0.03054496047
202	0.03053119868
203	0.03051546563
204	0.03050905969
205	0.03050904276
206	0.03048736223
207	0.03047698802
208	0.03044811912
209	0.03044435904
210	0.03042776887
211	0.03040910938
212	0.03038448708
213	0.03038006298
214	0.03036828633
215	0.03035315434
216	0.03034717714
217	0.03032422312
218	0.03031864011
219	0.03030653287
220	0.03029346996
221	0.03027221003
222	0.03025631548
223	0.03024997252
224	0.03024335572
225	0.03022553221
226	0.03021334739
227	0.03020819571
228	0.03020276594
229	0.03018458973
230	0.03017889491
231	0.03015602963
232	0.03014209169
233	0.03013447449
234	0.03013434501
235	0.03012796081
236	0.03011752432
237	0.03010375995
238	0.03009619555
239	0.03007323968
240	0.03006338613
241	0.03004969268
242	0.0300391551
243	0.03002733827
244	0.03001321752
245	0.02999698658
246	0.02998215409
247	0.029977045
248	0.02997288736
249	0.0299592822
250	0.02993236519
251	0.02992457892
252	0.02991065786
253	0.02989939082
254	0.02989147821
255	0.02988302914
256	0.02987929881
257	0.02986075144
258	0.02985380884
259	0.02985003678
260	0.02984520159
261	0.02983879928
262	0.02983119576
263	0.02982306972
264	0.02980862742
265	0.02979958246
266	0.02978703138
267	0.02978700326
268	0.02978357967
269	0.02977002232
270	0.02976502868
271	0.0297496184
272	0.02974720212
273	0.02974023515
274	0.02973325661
275	0.02972809241
276	0.02972066994
277	0.02971534601
278	0.02971290836
279	0.02970001264
280	0.02969200508
281	0.02967190922
282	0.02967093337
283	0.02966184088
284	0.02965714553
285	0.02965272324
286	0.02964842814
287	0.02964467349
288	0.02962986324
289	0.02961582617
290	0.02960671199
291	0.02960620384
292	0.02959542867
293	0.02959167189
294	0.02958842989
295	0.02957951188
296	0.02956560874
297	0.02955731942
298	0.02955112082
299	0.02953786869
300	0.02953393087
301	0.02952980794
302	0.02952706368
303	0.02952448618
304	0.02951564704
305	0.02950989872
306	0.02949348476
307	0.02949344387
308	0.02948970834
309	0.02948746273
310	0.0294730192
311	0.0294657404
312	0.02946105355
313	0.02945837225
314	0.02945291604
