iter	Passed	Remaining
401	16114	44013
402	16156	43980
403	16204	43961
404	16243	43917
405	16285	43883
406	16326	43845
407	16372	43820
408	16411	43776
409	16457	43753
410	16492	43700
411	16526	43641
412	16563	43595
413	16608	43566
414	16653	43540
415	16690	43490
416	16735	43464
417	16782	43442
418	16825	43409
419	16868	43375
420	16903	43322
421	16945	43286
422	16987	43252
423	17030	43218
424	17074	43189
425	17116	43152
426	17156	43112
427	17202	43085
428	17247	43059
429	17290	43026
430	17328	42980
431	17379	42966
432	17419	42924
433	17457	42879
434	17498	42840
435	17542	42808
436	17586	42779
437	17630	42747
438	17671	42709
439	17710	42665
440	17751	42628
441	17792	42589
442	17827	42537
443	17867	42495
444	17908	42457
445	17946	42410
446	17991	42383
447	18031	42342
448	18097	42361
449	18143	42335
450	18190	42309
451	18236	42282
452	18281	42253
453	18323	42217
454	18364	42178
455	18406	42140
456	18446	42101
457	18489	42065
458	18527	42020
459	18566	41976
460	18607	41936
461	18650	41902
462	18691	41864
463	18736	41833
464	18772	41783
465	18816	41752
466	18853	41703
467	18899	41675
468	18932	41619
469	18972	41579
470	19010	41533
471	19049	41488
472	19089	41448
473	19130	41408
474	19163	41353
475	19209	41323
476	19256	41298
477	19303	41271
478	19347	41239
479	19388	41199
480	19433	41170
481	19475	41132
482	19517	41096
483	19555	41050
484	19594	41006
485	19637	40971
486	19679	40935
487	19721	40897
488	19765	40864
489	19813	40839
490	19866	40824
491	19908	40787
492	19949	40748
493	19997	40722
494	20039	40686
495	20078	40642
496	20114	40593
497	20147	40537
498	20182	40487
499	20217	40434
500	20257	40394
501	20307	40372
502	20354	40345
503	20402	40319
504	20445	40284
505	20488	40249
506	20525	40201
507	20561	40151
508	20598	40105
509	20644	40074
510	20680	40024
511	20725	39994
512	20771	39963
513	20815	39929
514	20861	39900
515	20906	39867
516	20942	39820
517	20985	39783
518	21029	39749
519	21071	39712
520	21110	39668
521	21152	39629
522	21188	39582
523	21232	39547
524	21270	39502
525	21315	39470
526	21356	39431
527	21402	39400
528	21442	39358
529	21471	39296
530	21507	39247
531	21553	39218
532	21597	39183
533	21636	39140
534	21682	39108
535	21728	39078
536	21773	39045
537	21810	38998
538	21846	38951
539	21880	38898
540	21920	38856
541	21962	38820
542	21999	38772
543	22036	38725
544	22078	38688
545	22125	38658
546	22171	38628
547	22218	38598
548	22262	38563
549	22306	38529
550	22355	38502
551	22401	38471
552	22442	38432
553	22482	38390
554	22521	38348
555	22563	38309
556	22601	38265
557	22642	38224
558	22685	38187
559	22724	38144
560	22764	38102
561	22809	38069
562	22850	38030
563	22892	37991
564	22935	37954
565	22971	37907
